term_str,stem,n,rank,p,i,stop,max_pos,n_pos,cat_pos
announce,announc,12,6477,8.078784304537853e-06,16.917430356764136,0,VB,4,"{'JJ', 'NN', 'VB', 'VBP'}"
judy,judi,12,6477,8.078784304537853e-06,16.917430356764136,0,NNP,1,{'NNP'}
instruments,instrument,12,6477,8.078784304537853e-06,16.917430356764136,0,NNS,1,{'NNS'}
envy,envi,12,6477,8.078784304537853e-06,16.917430356764136,0,VB,3,"{'NN', 'VB', 'VBP'}"
severed,sever,12,6477,8.078784304537853e-06,16.917430356764136,0,VBD,2,"{'VBD', 'VBN'}"
27th,27th,12,6477,8.078784304537853e-06,16.917430356764136,0,CD,1,{'CD'}
darker,darker,12,6477,8.078784304537853e-06,16.917430356764136,0,NN,2,"{'NN', 'JJR'}"
bull,bull,12,6477,8.078784304537853e-06,16.917430356764136,0,NNP,3,"{'VB', 'NN', 'NNP'}"
guards,guard,12,6477,8.078784304537853e-06,16.917430356764136,0,NNS,2,"{'NNS', 'NNP'}"
boundless,boundless,12,6477,8.078784304537853e-06,16.917430356764136,0,NN,2,"{'JJ', 'NN'}"
wretchedness,wretched,12,6477,8.078784304537853e-06,16.917430356764136,0,NN,2,"{'JJ', 'NN'}"
treacherous,treacher,12,6477,8.078784304537853e-06,16.917430356764136,0,JJ,1,{'JJ'}
circulation,circul,12,6477,8.078784304537853e-06,16.917430356764136,0,NN,2,"{'NN', 'NNP'}"
revived,reviv,12,6477,8.078784304537853e-06,16.917430356764136,0,VBD,2,"{'VBD', 'VBN'}"
controlled,control,12,6477,8.078784304537853e-06,16.917430356764136,0,VBN,2,"{'VBD', 'VBN'}"
apology,apolog,12,6477,8.078784304537853e-06,16.917430356764136,0,NN,1,{'NN'}
axe,axe,12,6477,8.078784304537853e-06,16.917430356764136,0,NN,2,"{'NN', 'NNP'}"
intimation,intim,12,6477,8.078784304537853e-06,16.917430356764136,0,NN,1,{'NN'}
exslave,exslav,12,6477,8.078784304537853e-06,16.917430356764136,0,JJ,2,"{'JJ', 'NN'}"
supposing,suppos,12,6477,8.078784304537853e-06,16.917430356764136,0,VBG,1,{'VBG'}
violated,violat,12,6477,8.078784304537853e-06,16.917430356764136,0,VBN,2,"{'VBD', 'VBN'}"
crippled,crippl,12,6477,8.078784304537853e-06,16.917430356764136,0,VBN,3,"{'JJ', 'NNP', 'VBN'}"
roots,root,12,6477,8.078784304537853e-06,16.917430356764136,0,NNS,1,{'NNS'}
fragments,fragment,12,6477,8.078784304537853e-06,16.917430356764136,0,NNS,1,{'NNS'}
dope,dope,12,6477,8.078784304537853e-06,16.917430356764136,0,NN,1,{'NN'}
dig,dig,12,6477,8.078784304537853e-06,16.917430356764136,0,VB,3,"{'NN', 'VB', 'RP'}"
reveille,reveill,12,6477,8.078784304537853e-06,16.917430356764136,0,NN,5,"{'NNP', 'PDT', 'JJ', 'NN', 'VB'}"
lightfoot,lightfoot,12,6477,8.078784304537853e-06,16.917430356764136,0,NNP,1,{'NNP'}
overtook,overtook,12,6477,8.078784304537853e-06,16.917430356764136,0,VBP,5,"{'VBP', 'IN', 'NN', 'VB', 'MD'}"
lagos,lago,12,6477,8.078784304537853e-06,16.917430356764136,0,NNP,1,{'NNP'}
balls,ball,12,6477,8.078784304537853e-06,16.917430356764136,0,NNS,1,{'NNS'}
antiprohibition,antiprohibit,12,6477,8.078784304537853e-06,16.917430356764136,0,NN,3,"{'JJ', 'NN', 'NNP'}"
subsequent,subsequ,12,6477,8.078784304537853e-06,16.917430356764136,0,JJ,1,{'JJ'}
omar,omar,12,6477,8.078784304537853e-06,16.917430356764136,0,NNP,1,{'NNP'}
exertions,exert,12,6477,8.078784304537853e-06,16.917430356764136,0,NNS,1,{'NNS'}
goal,goal,12,6477,8.078784304537853e-06,16.917430356764136,0,NN,1,{'NN'}
terrified,terrifi,12,6477,8.078784304537853e-06,16.917430356764136,0,JJ,3,"{'JJ', 'VBD', 'VBN'}"
gibson,gibson,12,6477,8.078784304537853e-06,16.917430356764136,0,NNP,1,{'NNP'}
kanemy,kanemi,12,6477,8.078784304537853e-06,16.917430356764136,0,NNP,1,{'NNP'}
purely,pure,12,6477,8.078784304537853e-06,16.917430356764136,0,RB,1,{'RB'}
scorn,scorn,12,6477,8.078784304537853e-06,16.917430356764136,0,NN,5,"{'VBP', 'VBN', 'JJ', 'NN', 'VB'}"
lamented,lament,12,6477,8.078784304537853e-06,16.917430356764136,0,JJ,3,"{'JJ', 'VBD', 'VBN'}"
mas,mas,12,6477,8.078784304537853e-06,16.917430356764136,0,NNP,2,"{'JJ', 'NNP'}"
spots,spot,12,6477,8.078784304537853e-06,16.917430356764136,0,NNS,2,"{'NNS', 'NNP'}"
impediments,impedi,12,6477,8.078784304537853e-06,16.917430356764136,0,NNS,1,{'NNS'}
suspension,suspens,12,6477,8.078784304537853e-06,16.917430356764136,0,NN,1,{'NN'}
employing,employ,12,6477,8.078784304537853e-06,16.917430356764136,0,VBG,2,"{'VBG', 'NNP'}"
ed,ed,12,6477,8.078784304537853e-06,16.917430356764136,0,NNP,1,{'NNP'}
planter,planter,12,6477,8.078784304537853e-06,16.917430356764136,0,NN,2,"{'NN', 'NNP'}"
shudder,shudder,12,6477,8.078784304537853e-06,16.917430356764136,0,NN,3,"{'VB', 'NN', 'VBP'}"
renown,renown,12,6477,8.078784304537853e-06,16.917430356764136,0,NN,3,"{'VBZ', 'NN', 'VBN'}"
oxen,oxen,12,6477,8.078784304537853e-06,16.917430356764136,0,NN,3,"{'JJ', 'NN', 'RB'}"
defenders,defend,12,6477,8.078784304537853e-06,16.917430356764136,0,NNS,1,{'NNS'}
voters,voter,12,6477,8.078784304537853e-06,16.917430356764136,0,NNS,1,{'NNS'}
saith,saith,12,6477,8.078784304537853e-06,16.917430356764136,0,VBD,4,"{'NN', 'VB', 'VBD', 'VBZ'}"
softly,soft,12,6477,8.078784304537853e-06,16.917430356764136,0,RB,1,{'RB'}
hay,hay,12,6477,8.078784304537853e-06,16.917430356764136,0,NN,3,"{'JJ', 'NN', 'NNP'}"
mackie,macki,12,6477,8.078784304537853e-06,16.917430356764136,0,NNP,1,{'NNP'}
conception,concept,12,6477,8.078784304537853e-06,16.917430356764136,0,NN,1,{'NN'}
commendation,commend,12,6477,8.078784304537853e-06,16.917430356764136,0,NN,1,{'NN'}
earning,earn,12,6477,8.078784304537853e-06,16.917430356764136,0,VBG,2,"{'NN', 'VBG'}"
cunning,cun,12,6477,8.078784304537853e-06,16.917430356764136,0,NN,2,"{'NN', 'VBG'}"
deplorable,deplor,12,6477,8.078784304537853e-06,16.917430356764136,0,JJ,1,{'JJ'}
clair,clair,12,6477,8.078784304537853e-06,16.917430356764136,0,NNP,1,{'NNP'}
purest,purest,12,6477,8.078784304537853e-06,16.917430356764136,0,JJS,2,"{'NN', 'JJS'}"
heated,heat,12,6477,8.078784304537853e-06,16.917430356764136,0,VBN,2,"{'JJ', 'VBN'}"
philanthropists,philanthropist,12,6477,8.078784304537853e-06,16.917430356764136,0,NNS,1,{'NNS'}
searching,search,12,6477,8.078784304537853e-06,16.917430356764136,0,VBG,3,"{'JJ', 'NN', 'VBG'}"
finely,fine,12,6477,8.078784304537853e-06,16.917430356764136,0,RB,1,{'RB'}
si,si,12,6477,8.078784304537853e-06,16.917430356764136,0,NNP,2,"{'JJ', 'NNP'}"
commissioned,commiss,12,6477,8.078784304537853e-06,16.917430356764136,0,VBN,3,"{'JJ', 'VBD', 'VBN'}"
galling,gall,12,6477,8.078784304537853e-06,16.917430356764136,0,VBG,3,"{'JJ', 'NN', 'VBG'}"
availed,avail,12,6477,8.078784304537853e-06,16.917430356764136,0,VBD,3,"{'JJ', 'VBD', 'VBN'}"
pro,pro,12,6477,8.078784304537853e-06,16.917430356764136,0,FW,2,"{'JJ', 'FW'}"
wolcott,wolcott,12,6477,8.078784304537853e-06,16.917430356764136,0,NNP,1,{'NNP'}
ebenezer,ebenez,12,6477,8.078784304537853e-06,16.917430356764136,0,NNP,1,{'NNP'}
concentrated,concentr,12,6477,8.078784304537853e-06,16.917430356764136,0,JJ,3,"{'JJ', 'VBD', 'VBN'}"
richly,rich,12,6477,8.078784304537853e-06,16.917430356764136,0,RB,2,"{'JJ', 'RB'}"
searched,search,12,6477,8.078784304537853e-06,16.917430356764136,0,VBD,2,"{'VBD', 'VBN'}"
shreveport,shreveport,12,6477,8.078784304537853e-06,16.917430356764136,0,NNP,1,{'NNP'}
maimed,maim,12,6477,8.078784304537853e-06,16.917430356764136,0,VBN,3,"{'NNP', 'VBD', 'VBN'}"
uptown,uptown,12,6477,8.078784304537853e-06,16.917430356764136,0,JJ,4,"{'JJ', 'RP', 'IN', 'RB'}"
allegiance,allegi,12,6477,8.078784304537853e-06,16.917430356764136,0,NN,1,{'NN'}
amity,amiti,12,6477,8.078784304537853e-06,16.917430356764136,0,NNP,2,"{'NN', 'NNP'}"
exclaim,exclaim,12,6477,8.078784304537853e-06,16.917430356764136,0,VB,3,"{'NN', 'VB', 'VBP'}"
liberated,liber,12,6477,8.078784304537853e-06,16.917430356764136,0,VBN,3,"{'JJ', 'VBD', 'VBN'}"
apiece,apiec,12,6477,8.078784304537853e-06,16.917430356764136,0,RB,3,"{'IN', 'NN', 'RB'}"
asserted,assert,12,6477,8.078784304537853e-06,16.917430356764136,0,VBD,2,"{'VBD', 'VBN'}"
colours,colour,12,6477,8.078784304537853e-06,16.917430356764136,0,NNS,2,"{'NNS', 'NN'}"
partake,partak,12,6477,8.078784304537853e-06,16.917430356764136,0,VB,2,"{'NN', 'VB'}"
strengthened,strengthen,12,6477,8.078784304537853e-06,16.917430356764136,0,VBN,2,"{'VBD', 'VBN'}"
counsels,counsel,12,6477,8.078784304537853e-06,16.917430356764136,0,NNS,1,{'NNS'}
par,par,12,6477,8.078784304537853e-06,16.917430356764136,0,NN,3,"{'JJ', 'NN', 'NNP'}"
licensed,licens,12,6477,8.078784304537853e-06,16.917430356764136,0,VBN,3,"{'JJ', 'VBD', 'VBN'}"
lipscomb,lipscomb,12,6477,8.078784304537853e-06,16.917430356764136,0,NNP,1,{'NNP'}
feb,feb,12,6477,8.078784304537853e-06,16.917430356764136,0,NNP,1,{'NNP'}
representation,represent,12,6477,8.078784304537853e-06,16.917430356764136,0,NN,1,{'NN'}
expose,expos,12,6477,8.078784304537853e-06,16.917430356764136,0,VB,1,{'VB'}
tale,tale,12,6477,8.078784304537853e-06,16.917430356764136,0,NN,1,{'NN'}
sturge,sturg,12,6477,8.078784304537853e-06,16.917430356764136,0,NNP,1,{'NNP'}
exceeding,exceed,12,6477,8.078784304537853e-06,16.917430356764136,0,VBG,1,{'VBG'}
fiercely,fierc,12,6477,8.078784304537853e-06,16.917430356764136,0,RB,1,{'RB'}
privileged,privileg,12,6477,8.078784304537853e-06,16.917430356764136,0,VBN,2,"{'JJ', 'VBN'}"
les,les,12,6477,8.078784304537853e-06,16.917430356764136,0,NNP,3,"{'NNS', 'NNP', 'VBZ'}"
blazed,blaze,12,6477,8.078784304537853e-06,16.917430356764136,0,VBD,2,"{'VBD', 'VBN'}"
edge,edg,12,6477,8.078784304537853e-06,16.917430356764136,0,NN,1,{'NN'}
tendencies,tendenc,12,6477,8.078784304537853e-06,16.917430356764136,0,NNS,1,{'NNS'}
financially,financi,12,6477,8.078784304537853e-06,16.917430356764136,0,RB,1,{'RB'}
deportment,deport,12,6477,8.078784304537853e-06,16.917430356764136,0,NN,1,{'NN'}
joking,joke,12,6477,8.078784304537853e-06,16.917430356764136,0,VBG,3,"{'JJ', 'NN', 'VBG'}"
jolly,jolli,12,6477,8.078784304537853e-06,16.917430356764136,0,RB,2,"{'JJ', 'RB'}"
flat,flat,12,6477,8.078784304537853e-06,16.917430356764136,0,JJ,2,"{'JJ', 'NN'}"
nearby,nearbi,12,6477,8.078784304537853e-06,16.917430356764136,0,JJ,3,"{'JJ', 'NN', 'RB'}"
peaches,peach,12,6477,8.078784304537853e-06,16.917430356764136,0,NNS,1,{'NNS'}
emotional,emot,12,6477,8.078784304537853e-06,16.917430356764136,0,JJ,1,{'JJ'}
aversion,avers,12,6477,8.078784304537853e-06,16.917430356764136,0,NN,1,{'NN'}
cringing,cring,12,6477,8.078784304537853e-06,16.917430356764136,0,NN,3,"{'JJ', 'NN', 'VBG'}"
jerusalem,jerusalem,12,6477,8.078784304537853e-06,16.917430356764136,0,NNP,1,{'NNP'}
administer,administ,12,6477,8.078784304537853e-06,16.917430356764136,0,VB,4,"{'NN', 'VB', 'VBP', 'RB'}"
avenge,aveng,12,6477,8.078784304537853e-06,16.917430356764136,0,VB,1,{'VB'}
repress,repress,12,6477,8.078784304537853e-06,16.917430356764136,0,VB,1,{'VB'}
lockup,lockup,12,6477,8.078784304537853e-06,16.917430356764136,0,NN,3,"{'JJ', 'NN', 'NNP'}"
hosts,host,12,6477,8.078784304537853e-06,16.917430356764136,0,NNS,2,"{'NNS', 'NNP'}"
tyrants,tyrant,12,6477,8.078784304537853e-06,16.917430356764136,0,NNS,1,{'NNS'}
brightest,brightest,12,6477,8.078784304537853e-06,16.917430356764136,0,JJS,1,{'JJS'}
screams,scream,12,6477,8.078784304537853e-06,16.917430356764136,0,NNS,4,"{'JJ', 'NNS', 'NN', 'VBD'}"
shrink,shrink,12,6477,8.078784304537853e-06,16.917430356764136,0,VB,3,"{'NN', 'VB', 'VBP'}"
confirm,confirm,12,6477,8.078784304537853e-06,16.917430356764136,0,VB,2,"{'VB', 'VBP'}"
isolated,isol,12,6477,8.078784304537853e-06,16.917430356764136,0,JJ,2,"{'JJ', 'VBN'}"
learnt,learnt,12,6477,8.078784304537853e-06,16.917430356764136,0,VBN,7,"{'VBD', 'VBN', 'NNS', 'VBZ', 'JJ', 'NN', 'VBP'}"
bosoms,bosom,12,6477,8.078784304537853e-06,16.917430356764136,0,NNS,1,{'NNS'}
hindered,hinder,12,6477,8.078784304537853e-06,16.917430356764136,0,VBN,2,"{'VBD', 'VBN'}"
bowen,bowen,12,6477,8.078784304537853e-06,16.917430356764136,0,NNP,1,{'NNP'}
despise,despis,12,6477,8.078784304537853e-06,16.917430356764136,0,VB,3,"{'VB', 'VBP', 'NNP'}"
indulgence,indulg,12,6477,8.078784304537853e-06,16.917430356764136,0,NN,1,{'NN'}
excluded,exclud,12,6477,8.078784304537853e-06,16.917430356764136,0,VBN,2,"{'VBD', 'VBN'}"
pallet,pallet,12,6477,8.078784304537853e-06,16.917430356764136,0,NN,1,{'NN'}
garfield,garfield,12,6477,8.078784304537853e-06,16.917430356764136,0,NNP,1,{'NNP'}
oaths,oath,12,6477,8.078784304537853e-06,16.917430356764136,0,NNS,2,"{'NNS', 'FW'}"
alight,alight,12,6477,8.078784304537853e-06,16.917430356764136,0,VB,4,"{'NN', 'VB', 'VBP', 'VBN'}"
tended,tend,12,6477,8.078784304537853e-06,16.917430356764136,0,VBD,2,"{'VBD', 'VBN'}"
liberate,liber,12,6477,8.078784304537853e-06,16.917430356764136,0,VB,2,"{'VB', 'NNP'}"
ordination,ordin,12,6477,8.078784304537853e-06,16.917430356764136,0,NN,1,{'NN'}
efficiency,effici,12,6477,8.078784304537853e-06,16.917430356764136,0,NN,1,{'NN'}
lovers,lover,12,6477,8.078784304537853e-06,16.917430356764136,0,NNS,1,{'NNS'}
deaf,deaf,12,6477,8.078784304537853e-06,16.917430356764136,0,NN,2,"{'NN', 'VBN'}"
manifestly,manifest,12,6477,8.078784304537853e-06,16.917430356764136,0,RB,1,{'RB'}
inflict,inflict,12,6477,8.078784304537853e-06,16.917430356764136,0,VB,3,"{'JJ', 'VB', 'VBP'}"
senses,sens,12,6477,8.078784304537853e-06,16.917430356764136,0,NNS,1,{'NNS'}
bruce,bruce,12,6477,8.078784304537853e-06,16.917430356764136,0,NNP,1,{'NNP'}
encountered,encount,12,6477,8.078784304537853e-06,16.917430356764136,0,VBN,2,"{'VBD', 'VBN'}"
representing,repres,12,6477,8.078784304537853e-06,16.917430356764136,0,VBG,2,"{'VBG', 'NNP'}"
exhibits,exhibit,12,6477,8.078784304537853e-06,16.917430356764136,0,NNS,2,"{'NNS', 'VBZ'}"
fulton,fulton,12,6477,8.078784304537853e-06,16.917430356764136,0,NNP,1,{'NNP'}
nellie,nelli,12,6477,8.078784304537853e-06,16.917430356764136,0,NNP,1,{'NNP'}
newcomers,newcom,12,6477,8.078784304537853e-06,16.917430356764136,0,NNS,1,{'NNS'}
disposal,dispos,12,6477,8.078784304537853e-06,16.917430356764136,0,NN,1,{'NN'}
worldly,world,12,6477,8.078784304537853e-06,16.917430356764136,0,RB,2,"{'JJ', 'RB'}"
caring,care,12,6477,8.078784304537853e-06,16.917430356764136,0,VBG,2,"{'NN', 'VBG'}"
cunard,cunard,12,6477,8.078784304537853e-06,16.917430356764136,0,NNP,1,{'NNP'}
commanderinchief,commanderinchief,12,6477,8.078784304537853e-06,16.917430356764136,0,NNP,3,"{'JJ', 'NN', 'NNP'}"
tempter,tempter,12,6477,8.078784304537853e-06,16.917430356764136,0,NN,2,"{'NN', 'NNP'}"
stool,stool,12,6477,8.078784304537853e-06,16.917430356764136,0,NN,1,{'NN'}
declining,declin,12,6477,8.078784304537853e-06,16.917430356764136,0,VBG,1,{'VBG'}
thieves,thiev,12,6477,8.078784304537853e-06,16.917430356764136,0,NNS,1,{'NNS'}
latest,latest,12,6477,8.078784304537853e-06,16.917430356764136,0,JJS,1,{'JJS'}
specimen,specimen,12,6477,8.078784304537853e-06,16.917430356764136,0,NNS,2,"{'NNS', 'NN'}"
channel,channel,12,6477,8.078784304537853e-06,16.917430356764136,0,NN,2,"{'NN', 'NNP'}"
fellowman,fellowman,12,6477,8.078784304537853e-06,16.917430356764136,0,NN,2,"{'JJ', 'NN'}"
fights,fight,12,6477,8.078784304537853e-06,16.917430356764136,0,NNS,2,"{'NNS', 'VBZ'}"
journeys,journey,12,6477,8.078784304537853e-06,16.917430356764136,0,NNS,3,"{'NN', 'NNS', 'NNP'}"
beaming,beam,12,6477,8.078784304537853e-06,16.917430356764136,0,VBG,1,{'VBG'}
flame,flame,12,6477,8.078784304537853e-06,16.917430356764136,0,NN,1,{'NN'}
devils,devil,12,6477,8.078784304537853e-06,16.917430356764136,0,NNS,2,"{'NNS', 'NNP'}"
irvin,irvin,12,6477,8.078784304537853e-06,16.917430356764136,0,NNP,1,{'NNP'}
foundations,foundat,12,6477,8.078784304537853e-06,16.917430356764136,0,NNS,1,{'NNS'}
comfortably,comfort,12,6477,8.078784304537853e-06,16.917430356764136,0,RB,1,{'RB'}
sober,sober,12,6477,8.078784304537853e-06,16.917430356764136,0,JJ,5,"{'NNP', 'RB', 'JJ', 'NN', 'VB'}"
um,um,12,6477,8.078784304537853e-06,16.917430356764136,0,JJ,3,"{'JJ', 'NN', 'NNP'}"
organ,organ,12,6477,8.078784304537853e-06,16.917430356764136,0,NN,3,"{'JJ', 'NN', 'RB'}"
dispersed,dispers,12,6477,8.078784304537853e-06,16.917430356764136,0,VBN,2,"{'VBD', 'VBN'}"
ascended,ascend,12,6477,8.078784304537853e-06,16.917430356764136,0,VBD,2,"{'VBD', 'VBN'}"
clergyman,clergyman,12,6477,8.078784304537853e-06,16.917430356764136,0,NN,1,{'NN'}
toothbrush,toothbrush,12,6477,8.078784304537853e-06,16.917430356764136,0,NN,2,"{'JJ', 'NN'}"
folded,fold,12,6477,8.078784304537853e-06,16.917430356764136,0,VBD,3,"{'JJ', 'VBD', 'VBN'}"
brotherhood,brotherhood,12,6477,8.078784304537853e-06,16.917430356764136,0,NN,2,"{'NN', 'NNP'}"
abiding,abid,12,6477,8.078784304537853e-06,16.917430356764136,0,VBG,2,"{'NN', 'VBG'}"
stepping,step,12,6477,8.078784304537853e-06,16.917430356764136,0,VBG,1,{'VBG'}
westminster,westminst,12,6477,8.078784304537853e-06,16.917430356764136,0,NNP,1,{'NNP'}
reckless,reckless,12,6477,8.078784304537853e-06,16.917430356764136,0,JJ,3,"{'JJ', 'NN', 'RB'}"
arter,arter,12,6477,8.078784304537853e-06,16.917430356764136,0,NN,3,"{'JJ', 'NN', 'RB'}"
sainted,saint,12,6477,8.078784304537853e-06,16.917430356764136,0,JJ,2,"{'JJ', 'VBN'}"
strain,strain,12,6477,8.078784304537853e-06,16.917430356764136,0,NN,1,{'NN'}
gratify,gratifi,12,6477,8.078784304537853e-06,16.917430356764136,0,VB,1,{'VB'}
apparel,apparel,12,6477,8.078784304537853e-06,16.917430356764136,0,NN,1,{'NN'}
graham,graham,12,6477,8.078784304537853e-06,16.917430356764136,0,NNP,1,{'NNP'}
massacred,massacr,12,6477,8.078784304537853e-06,16.917430356764136,0,VBN,2,"{'VBD', 'VBN'}"
slumber,slumber,12,6477,8.078784304537853e-06,16.917430356764136,0,NN,2,"{'VB', 'NN'}"
underneath,underneath,12,6477,8.078784304537853e-06,16.917430356764136,0,IN,4,"{'IN', 'RBR', 'NN', 'VBP'}"
mist,mist,12,6477,8.078784304537853e-06,16.917430356764136,0,NN,2,"{'NN', 'NNP'}"
reconstruction,reconstruct,12,6477,8.078784304537853e-06,16.917430356764136,0,NNP,2,"{'NN', 'NNP'}"
michel,michel,12,6477,8.078784304537853e-06,16.917430356764136,0,NNP,1,{'NNP'}
deposited,deposit,12,6477,8.078784304537853e-06,16.917430356764136,0,VBN,2,"{'VBD', 'VBN'}"
functions,function,12,6477,8.078784304537853e-06,16.917430356764136,0,NNS,1,{'NNS'}
doubted,doubt,12,6477,8.078784304537853e-06,16.917430356764136,0,VBD,2,"{'VBD', 'VBN'}"
genteel,genteel,12,6477,8.078784304537853e-06,16.917430356764136,0,JJ,3,"{'JJ', 'NN', 'VB'}"
instincts,instinct,12,6477,8.078784304537853e-06,16.917430356764136,0,NNS,1,{'NNS'}
resolve,resolv,12,6477,8.078784304537853e-06,16.917430356764136,0,NN,3,"{'VB', 'NN', 'NNP'}"
pole,pole,12,6477,8.078784304537853e-06,16.917430356764136,0,NN,3,"{'VB', 'NN', 'NNP'}"
navy,navi,12,6477,8.078784304537853e-06,16.917430356764136,0,NNP,3,"{'JJ', 'NN', 'NNP'}"
waved,wave,12,6477,8.078784304537853e-06,16.917430356764136,0,VBD,2,"{'VBD', 'VBN'}"
unspeakable,unspeak,12,6477,8.078784304537853e-06,16.917430356764136,0,JJ,1,{'JJ'}
flies,fli,12,6477,8.078784304537853e-06,16.917430356764136,0,NNS,2,"{'NNS', 'VBZ'}"
iii,iii,12,6477,8.078784304537853e-06,16.917430356764136,0,NNP,2,"{'NN', 'NNP'}"
traits,trait,12,6477,8.078784304537853e-06,16.917430356764136,0,NNS,3,"{'NNS', 'NNP', 'VBZ'}"
freight,freight,12,6477,8.078784304537853e-06,16.917430356764136,0,NN,3,"{'NN', 'NNP', 'VBD'}"
pump,pump,12,6477,8.078784304537853e-06,16.917430356764136,0,NN,2,"{'VB', 'NN'}"
pontarlier,pontarli,12,6477,8.078784304537853e-06,16.917430356764136,0,NNP,1,{'NNP'}
slater,slater,12,6477,8.078784304537853e-06,16.917430356764136,0,NNP,1,{'NNP'}
adorn,adorn,12,6477,8.078784304537853e-06,16.917430356764136,0,VB,3,"{'VB', 'VBP', 'VBN'}"
thereupon,thereupon,12,6477,8.078784304537853e-06,16.917430356764136,0,NN,5,"{'CC', 'NNP', 'VBD', 'IN', 'NN'}"
outer,outer,12,6477,8.078784304537853e-06,16.917430356764136,0,NN,2,"{'JJ', 'NN'}"
revivals,reviv,12,6477,8.078784304537853e-06,16.917430356764136,0,NNS,1,{'NNS'}
console,consol,12,6477,8.078784304537853e-06,16.917430356764136,0,VB,2,"{'VB', 'VBP'}"
prudence,prudenc,12,6477,8.078784304537853e-06,16.917430356764136,0,NN,1,{'NN'}
evidences,evid,12,6477,8.078784304537853e-06,16.917430356764136,0,NNS,1,{'NNS'}
con,con,12,6477,8.078784304537853e-06,16.917430356764136,0,NN,3,"{'JJ', 'NN', 'NNP'}"
exclamation,exclam,11,6827,7.405552279159699e-06,17.042961238847994,0,NN,1,{'NN'}
survive,surviv,11,6827,7.405552279159699e-06,17.042961238847994,0,VB,3,"{'JJ', 'VB', 'VBP'}"
alert,alert,11,6827,7.405552279159699e-06,17.042961238847994,0,NN,3,"{'JJ', 'NN', 'VBP'}"
emigrant,emigr,11,6827,7.405552279159699e-06,17.042961238847994,0,NN,2,"{'JJ', 'NN'}"
footing,foot,11,6827,7.405552279159699e-06,17.042961238847994,0,NN,2,"{'NN', 'VBG'}"
unnatural,unnatur,11,6827,7.405552279159699e-06,17.042961238847994,0,JJ,1,{'JJ'}
echo,echo,11,6827,7.405552279159699e-06,17.042961238847994,0,NN,3,"{'JJ', 'NN', 'NNP'}"
spectacle,spectacl,11,6827,7.405552279159699e-06,17.042961238847994,0,NN,1,{'NN'}
alternately,altern,11,6827,7.405552279159699e-06,17.042961238847994,0,RB,1,{'RB'}
gould,gould,11,6827,7.405552279159699e-06,17.042961238847994,0,NNP,1,{'NNP'}
receipt,receipt,11,6827,7.405552279159699e-06,17.042961238847994,0,NN,1,{'NN'}
forgetting,forget,11,6827,7.405552279159699e-06,17.042961238847994,0,VBG,2,"{'NN', 'VBG'}"
unanimous,unanim,11,6827,7.405552279159699e-06,17.042961238847994,0,JJ,1,{'JJ'}
selfcontrol,selfcontrol,11,6827,7.405552279159699e-06,17.042961238847994,0,NN,2,"{'JJ', 'NN'}"
brute,brute,11,6827,7.405552279159699e-06,17.042961238847994,0,NN,3,"{'JJ', 'VBZ', 'NN'}"
township,township,11,6827,7.405552279159699e-06,17.042961238847994,0,NN,3,"{'JJ', 'NN', 'NNP'}"
subservient,subservi,11,6827,7.405552279159699e-06,17.042961238847994,0,JJ,4,"{'JJ', 'NN', 'VBD', 'VB'}"
livery,liveri,11,6827,7.405552279159699e-06,17.042961238847994,0,NN,3,"{'JJ', 'NN', 'VB'}"
spectators,spectat,11,6827,7.405552279159699e-06,17.042961238847994,0,NNS,1,{'NNS'}
durham,durham,11,6827,7.405552279159699e-06,17.042961238847994,0,NNP,1,{'NNP'}
polish,polish,11,6827,7.405552279159699e-06,17.042961238847994,0,JJ,4,"{'JJ', 'NN', 'VB', 'NNP'}"
intellectually,intellectu,11,6827,7.405552279159699e-06,17.042961238847994,0,RB,1,{'RB'}
problems,problem,11,6827,7.405552279159699e-06,17.042961238847994,0,NNS,1,{'NNS'}
groaned,groan,11,6827,7.405552279159699e-06,17.042961238847994,0,VBD,2,"{'VBD', 'VBN'}"
appearances,appear,11,6827,7.405552279159699e-06,17.042961238847994,0,NNS,1,{'NNS'}
1863,1863,11,6827,7.405552279159699e-06,17.042961238847994,0,CD,1,{'CD'}
graceful,grace,11,6827,7.405552279159699e-06,17.042961238847994,0,JJ,2,"{'JJ', 'NN'}"
rallied,ralli,11,6827,7.405552279159699e-06,17.042961238847994,0,VBD,2,"{'VBD', 'VBN'}"
reduce,reduc,11,6827,7.405552279159699e-06,17.042961238847994,0,VB,1,{'VB'}
racial,racial,11,6827,7.405552279159699e-06,17.042961238847994,0,JJ,1,{'JJ'}
grandeur,grandeur,11,6827,7.405552279159699e-06,17.042961238847994,0,NN,1,{'NN'}
confided,confid,11,6827,7.405552279159699e-06,17.042961238847994,0,VBN,2,"{'VBD', 'VBN'}"
pronounce,pronounc,11,6827,7.405552279159699e-06,17.042961238847994,0,VB,3,"{'NN', 'VB', 'VBP'}"
pitiful,piti,11,6827,7.405552279159699e-06,17.042961238847994,0,JJ,1,{'JJ'}
jewish,jewish,11,6827,7.405552279159699e-06,17.042961238847994,0,JJ,2,"{'JJ', 'NNP'}"
rejoined,rejoin,11,6827,7.405552279159699e-06,17.042961238847994,0,VBD,1,{'VBD'}
multitudes,multitud,11,6827,7.405552279159699e-06,17.042961238847994,0,NNS,1,{'NNS'}
